satellite,timestamp,x_pred,y_pred,z_pred,vx_pred,vy_pred,vz_pred,x_truth,y_truth,z_truth,vx_truth,vy_truth,vz_truth,dx,dy,dz,dvx,dvy,dvz,dr,ds,dw,dvr,dvs,dvw
AJISAI,2025-01-01 12:13:11.181216,422.6269780502489,5124.149435011634,5955.119677167613,-6.904220379731896,1.5148155321876402,-0.8139282963638834,422.611754901936,5124.265806436545,5955.026851027027,-6.904229168425729,1.5148166899443822,-0.8139136043937469,-0.015223148312884405,0.11637142491144914,-0.09282614058611216,-8.788693833139405e-06,1.1577567420317791e-06,1.4691970136482269e-05,0.004713016564967629,0.05016627339727625,-0.14089669139081248,1.1402554105180381e-05,7.094538500106784e-06,1.0681049096722945e-05
AJISAI,2025-01-01 12:18:11.181216,-1638.791172060574,5385.815090466515,5495.873538917565,-6.754238837434514,0.21880864248396392,-2.2290060007180728,-1638.8077443594582,5385.927783031253,5495.789840639031,-6.754238788173097,0.2187883994247386,-2.228956887682216,-0.016572298884284464,0.11269256473769929,-0.08369827853402967,4.9261416279478e-08,-2.0243059225322213e-05,4.911303585686255e-05,0.022129660744181934,0.045414331549740145,-0.13201315719377482,2.0440204302939042e-05,-1.605239737463023e-05,4.6329178183360654e-05
AJISAI,2025-01-01 12:23:11.181216,-3580.3890664730775,5253.744209100146,4633.997239277541,-6.1101909222888935,-1.0940588440753345,-3.48165411629725,-3580.4057733705336,5253.849146045553,4633.934396288123,-6.110193602837626,-1.0940821367121316,-3.481564376593269,-0.016706897456060688,0.10493694540764409,-0.06284298941773159,-2.6805487323144916e-06,-2.3292636797123123e-05,8.973970398074016e-05,0.04066368889173423,0.028958175705618438,-0.11290709773335823,3.85235191016124e-05,-3.801482527858953e-05,7.532435380463541e-05
AJISAI,2025-01-01 12:28:11.181216,-5260.0125874794485,4737.291547673976,3432.371158312392,-5.018320060368751,-2.3280014713600394,-4.480012172958595,-5260.032309914242,4737.390386689642,3432.3400644226012,-5.018340586498198,-2.3280101792070127,-4.479891496037908,-0.019722434793948196,0.09883901566536224,-0.031093889790554385,-2.0526129446807317e-05,-8.707846973265987e-06,0.00012067692068740143,0.0591380970382937,0.0011582742418396151,-0.0873286855144199,6.113125935793394e-05,-5.861946595998021e-05,8.880762982677795e-05
AJISAI,2025-01-01 12:33:11.181216,-6554.424683230297,3873.930348668874,1978.8728296747756,-3.5578101376804625,-3.3924970479492913,-5.1503491884245705,-6554.455117905195,3874.028785119687,1978.880062202586,-3.5578656358447915,-3.39248399158123,-5.1502141747319,-0.03043467489806062,0.0984364508130966,0.007232527810401734,-5.5498164329037536e-05,1.3056368061370449e-05,0.00013501369267032715,0.0756525377724762,-0.03690669851411514,-0.05985735440804525,8.663348037600133e-05,-7.613108466475289e-05,9.043179874929834e-05
AJISAI,2025-01-01 12:38:11.181216,-7368.4435602176245,2726.6516806422155,380.0487011160491,-1.8354104562458815,-4.209037201880619,-5.442768176299296,-7368.497190462082,2726.7558101874124,380.09503568555266,-1.8355142681912184,-4.209007881083835,-5.4426402060584,-0.05363024445705378,0.10412954519688356,0.0463345695035855,-0.00010381194533692906,2.9320796784304548e-05,0.00012797024089650222,0.08857247046637207,-0.08310699085157205,-0.033379682167392295,0.00011359289248990657,-8.834228903632752e-05,8.547108527105138e-05
AJISAI,2025-01-01 12:43:11.181216,-7642.107159085081,1379.4248386258816,-1246.693424552101,0.022291812906587438,-4.7171972481137345,-5.335264452937054,-7642.199066014007,1379.537081441894,-1246.613546953918,0.02213657658376178,-4.717169736896267,-5.335163697794087,-0.091906928926619,0.11224281601244002,0.07987759818297491,-0.00015523632282565814,2.7511217467690585e-05,0.00010075514296659094,0.09632630231805842,-0.13443157953925966,-0.008669367157732456,0.00013969051041292898,-9.412618790692042e-05,8.144693914378355e-05
AJISAI,2025-01-01 12:48:11.181216,-7355.228066925699,-68.98091393939573,-2781.7936104372693,1.8784204190960736,-4.879386686714398,-4.835607030103347,-7355.372325543549,-68.86443481170745,-2781.6911729145054,1.8782235583748843,-4.879381586087689,-4.83554981555244,-0.1442586178500278,0.1164791276882795,0.10243752276392115,-0.00019686072118929587,5.100626708554046e-06,5.721455090679228e-05,0.09766785863613303,-0.1873580147753971,0.015144166199767058,0.00016384084390894251,-9.41840645444333e-05,7.961912225433782e-05
AJISAI,2025-01-01 12:53:11.181216,-6528.9179219258285,-1512.3323689976041,-4112.447360341783,3.5962964825821473,-4.683744969828922,-3.9807603975386883,-6529.123987432781,-1512.2213002865437,-4112.337591889343,3.596077085187062,-4.683779221740224,-3.9807595637412305,-0.2060655069526547,0.11106871106039762,0.10976845244022115,-0.00021939739508525236,-3.425191130190797e-05,8.337974577443674e-07,0.0923310027929159,-0.23842212683738714,0.03844788994190966,0.00018832588360873778,-8.86443729771034e-05,7.7360470000595e-05
AJISAI,2025-01-01 12:58:11.181216,-5223.956577677099,-2844.820084418754,-5140.975345087826,5.049810067280305,-4.144903060049273,-2.8339172708547267,-5224.22606794416,-2844.7286426383694,-5140.87654438613,5.049599700206272,-4.144988845161606,-2.8339794276043904,-0.26949026706097357,0.09144178038468453,0.09880070169583632,-0.00021036707403254695,-8.57851123328146e-05,-6.215674966369988e-05,0.08137004630927469,-0.28361462863499504,0.06074405225176949,0.00021146278419736236,-7.443580047829544e-05,7.224718243903849e-05
